,GENDER,EDUCATION,MARITAL STATUS,UNION MEMBERSHIP OF RESPONDENT,UNION MEMBERSHIP OF OTHERS IN HOUSEHOLD,CURRENT EMPLOYMENT STATUS,RELIGIOUS SERVICES ATTENDANCE,age,voted
2342,2,3,3,2,2,1,6,50,1
2343,2,4,1,2,2,1,6,60,1
2344,2,4,1,2,2,8,6,47,1
2345,1,4,1,2,2,9,2,49,1
2346,1,4,4,1,2,1,6,65,1
2347,2,4,4,2,2,1,1,30,0
2348,2,3,1,2,2,1,6,46,1
2349,1,3,4,2,2,1,1,32,1
2350,1,4,4,2,2,1,1,50,1
2351,1,4,1,2,2,1,6,54,1
2352,2,2,2,2,2,7,1,79,1
2353,2,7,4,2,2,1,1,32,1
2354,2,4,3,2,2,7,6,36,1
2355,2,7,1,2,2,1,6,69,1
2356,2,4,4,2,2,10,6,35,1
2357,1,4,1,2,2,1,3,38,1
2358,1,2,4,2,2,1,6,55,1
2359,1,3,4,2,1,1,6,41,1
2360,2,4,4,2,2,1,6,31,1
2361,1,7,4,1,1,1,1,26,0
2362,2,2,1,2,2,8,6,81,1
2363,2,4,1,2,2,1,6,64,1
2364,1,8,1,1,2,7,4,73,1
2365,2,4,1,2,2,1,1,52,1
2366,2,2,1,2,2,8,6,74,1
2367,1,7,1,1,2,1,6,65,1
2368,2,4,1,2,2,1,2,48,1
2369,1,3,1,2,2,1,2,46,1
2370,2,3,1,2,2,1,1,48,1
2371,1,96,1,2,2,1,4,72,1
2372,2,2,2,2,2,7,6,64,1
2373,2,3,1,2,2,1,6,69,1
2374,1,4,1,2,2,1,6,56,1
2375,2,7,2,2,2,7,6,73,1
2376,2,2,3,2,2,8,4,60,1
2377,2,4,4,2,2,1,6,28,0
2378,2,4,4,2,2,1,3,39,1
2379,1,4,4,2,2,1,6,52,1
2380,2,2,4,2,2,5,4,57,1
2381,2,2,2,2,2,7,4,70,1
2382,1,4,4,2,2,1,1,30,1
2383,1,3,1,2,2,1,6,41,1
2384,2,7,1,2,2,1,6,40,1
2385,1,4,1,2,2,1,2,44,1
2386,2,2,4,2,2,1,4,46,1
2387,1,4,1,2,2,10,6,48,1
2388,2,4,1,2,2,1,6,36,0
2389,2,3,3,2,2,1,4,56,1
2390,2,4,3,1,2,1,2,43,1
2391,2,4,2,2,2,7,4,67,1
2392,1,4,3,2,2,1,2,56,1
2393,2,2,1,2,2,7,4,73,1
2394,2,2,4,2,2,1,1,45,1
2395,1,4,1,2,2,1,1,41,1
2396,1,7,1,2,2,1,1,67,1
2397,2,4,1,2,2,1,6,43,1
2398,1,3,3,2,2,1,6,44,1
2399,1,7,1,2,2,1,2,58,1
2400,1,2,3,2,2,1,2,50,1
2401,1,4,4,2,2,1,1,28,0
2402,1,2,1,2,2,1,4,61,1
2403,1,4,3,2,2,9,4,45,1
2404,1,3,1,2,2,5,6,26,0
2405,1,3,1,2,2,1,1,40,1
2406,2,4,3,2,2,1,6,45,1
2407,1,3,1,2,2,1,2,50,1
2408,2,7,1,2,2,1,4,52,1
2409,1,2,3,2,2,1,1,72,1
2410,2,4,4,2,2,1,4,30,1
2411,2,4,1,2,2,1,6,34,1
2412,1,4,4,2,2,1,2,26,0
2413,1,2,1,2,2,10,3,59,1
2414,2,3,2,2,2,7,2,61,1
2415,1,2,1,2,2,10,2,70,1
2416,1,2,1,2,2,7,3,69,1
2417,2,3,3,2,2,7,4,61,1
2418,1,7,4,2,2,1,2,49,1
2419,2,4,1,2,2,1,6,30,1
2420,2,2,1,2,2,1,2,51,1
2421,2,96,1,2,2,9,3,77,1
2422,1,3,1,2,2,1,6,43,1
2423,1,3,1,2,2,1,2,50,1
2424,1,3,1,2,2,1,2,64,1
2425,1,4,4,2,2,1,2,44,1
2426,2,4,4,2,2,10,2,43,1
2427,1,4,1,2,2,1,3,35,1
2428,2,4,1,2,2,1,2,52,1
2429,1,4,1,2,2,7,2,80,1
2430,2,3,4,2,2,1,4,38,1
2431,1,7,1,2,2,1,2,45,1
2432,2,3,1,2,2,1,2,59,1
2433,2,7,3,2,2,1,2,49,1
2434,1,4,1,2,2,1,2,53,1
2435,1,4,1,2,2,1,4,34,1
2436,2,4,1,2,2,1,3,35,1
2437,2,2,1,2,2,7,6,74,1
2438,1,3,1,2,2,1,6,50,1
2439,2,3,3,2,2,7,4,67,1
2440,2,3,3,2,2,1,4,37,1
2441,1,4,4,2,2,1,1,32,1
2442,1,4,1,2,2,1,2,41,1
2443,2,4,4,2,2,1,3,28,1
2444,2,4,4,2,2,1,1,26,0
2445,2,8,1,2,2,1,1,50,1
2446,1,4,4,2,2,1,4,53,0
2447,1,2,4,2,2,1,6,48,0
2448,1,7,3,2,2,1,1,49,1
2449,1,2,4,2,2,1,1,69,0
2450,2,3,3,2,2,1,4,33,0
2451,1,2,1,2,2,1,4,66,1
2452,2,4,1,2,2,1,2,39,1
2453,1,8,1,2,2,1,1,73,1
2454,2,3,4,2,2,8,1,26,0
2455,2,7,1,2,2,8,6,62,1
2456,2,2,1,2,2,7,6,87,0
2457,2,4,1,2,2,1,4,41,1
2458,1,2,1,1,1,7,1,82,1
2459,1,3,4,2,2,10,6,25,0
2460,2,2,1,2,2,7,6,79,1
2461,1,4,1,2,2,1,6,55,0
2462,2,7,4,2,2,5,4,51,1
2463,2,1,1,2,2,8,2,74,0
2464,1,3,4,2,2,1,1,30,0
2465,1,3,1,2,2,1,4,39,0
2466,1,3,4,2,2,1,4,44,1
2467,2,3,3,2,2,8,3,60,1
2468,2,3,1,2,2,10,1,50,0
2469,2,2,1,2,2,8,6,36,1
2470,1,2,1,2,2,1,2,50,1
2471,2,2,1,2,2,10,1,25,0
2472,1,3,1,2,2,1,1,43,1
2473,1,4,1,2,2,1,1,64,1
2474,2,3,1,2,2,1,1,64,1
2475,1,3,1,2,2,7,4,92,0
2476,1,2,1,2,2,7,6,73,1
2477,2,4,1,2,2,1,1,62,1
2478,2,4,1,2,1,7,6,75,1
2479,1,7,1,2,2,7,6,76,1
2480,2,2,4,2,2,1,6,43,0
2481,2,7,4,2,2,1,1,45,1
2482,1,4,1,2,2,1,4,54,1
2483,1,2,3,2,2,1,2,40,1
2484,2,4,4,2,2,10,6,27,1
2485,2,2,4,2,2,1,6,49,1
2486,2,3,1,2,2,8,1,45,1
2487,2,4,4,2,2,1,3,55,1
2488,2,2,3,2,2,8,1,68,1
2489,2,2,1,2,2,7,6,80,1
2490,2,2,1,2,2,1,4,59,1
2491,1,2,1,2,2,1,2,39,1
2492,1,3,1,2,2,1,1,43,1
2493,2,4,1,2,2,1,2,46,1
2494,1,7,1,2,2,1,6,41,1
2495,1,4,2,2,2,1,4,53,1
2496,2,4,1,2,2,1,2,36,0
2497,1,3,1,2,2,1,1,42,0
2498,2,4,1,2,2,1,4,42,1
2499,1,7,4,2,2,1,4,36,1
2500,2,4,4,2,2,1,4,62,0
2501,2,3,4,2,2,6,6,25,0
2502,1,3,4,2,2,1,4,50,1
2503,1,4,1,2,2,1,2,44,1
2504,1,3,1,2,2,1,2,60,1
2505,2,1,1,2,2,9,6,77,0
2506,2,4,4,2,2,1,2,38,1
2507,2,4,4,2,2,1,4,27,0
2508,1,3,1,2,2,5,1,38,1
2509,2,4,1,2,2,1,1,29,1
2510,2,4,4,2,2,5,4,26,0
2511,2,1,3,1,2,1,6,59,1
2512,1,3,4,1,2,1,2,49,1
2513,1,4,4,2,2,1,1,41,1
2514,1,2,1,2,2,1,1,62,1
2515,1,2,1,2,2,1,1,36,0
2516,2,1,1,2,2,8,6,60,1
2517,1,2,1,2,2,1,1,62,1
2518,2,4,1,2,2,8,2,36,1
2519,2,2,1,2,2,1,6,58,1
2520,1,4,1,2,2,1,1,36,1
2521,1,1,1,2,2,1,1,69,0
2522,2,4,4,2,2,1,1,41,1
2523,2,8,3,2,2,1,6,49,1
2524,2,3,4,2,2,1,1,47,1
2525,2,4,1,2,2,1,6,41,0
2526,2,7,1,2,2,1,4,39,1
2527,1,3,4,2,2,5,1,25,0
2528,1,2,1,2,2,1,1,50,1
2529,2,4,1,2,2,1,2,30,1
2530,1,7,1,2,2,1,1,57,1
2531,1,3,1,2,2,1,2,68,1
2532,1,7,1,2,2,1,2,61,1
2533,1,1,4,2,2,1,1,70,1
2534,1,7,4,2,2,9,1,60,1
2535,1,7,4,2,2,1,1,36,1
2536,1,1,1,2,2,8,4,76,1
2537,2,4,4,2,2,1,2,46,0
2538,2,4,4,2,2,1,4,27,0
2539,2,7,1,2,2,1,2,42,1
2540,1,3,4,2,2,1,4,27,0
2541,1,3,4,2,2,1,4,24,0
2542,2,4,4,2,2,1,2,45,1
2543,1,7,4,2,2,1,2,49,1
2544,2,4,1,2,2,1,2,30,1
2545,2,2,4,2,2,1,2,45,1
2546,1,3,4,2,2,10,2,33,0
2547,1,3,1,2,2,5,4,27,1
2548,2,4,3,1,2,1,2,30,0
2549,2,4,4,1,2,1,6,51,1
2550,1,2,3,2,2,7,2,72,1
2551,1,4,1,2,2,1,2,33,1
2552,2,4,1,2,2,1,3,36,1
2553,2,4,1,2,2,1,4,53,1
2554,1,4,1,2,2,1,1,32,0
2555,2,3,1,2,2,1,6,47,1
2556,2,1,1,2,2,1,4,62,1
2557,1,3,4,2,2,5,1,27,0
2558,1,4,1,2,2,1,3,59,1
2559,1,4,4,2,2,1,2,31,1
2560,2,2,3,2,2,1,6,61,1
2561,1,7,1,2,2,1,3,33,1
2562,1,7,1,2,2,1,6,39,1
2563,2,3,1,2,2,8,6,46,1
2564,2,2,1,2,2,7,6,73,0
2565,2,7,4,2,2,1,2,29,0
2566,2,4,1,2,2,1,6,54,1
2567,1,1,1,2,2,5,1,68,1
2568,1,3,1,2,2,7,6,62,1
2569,1,8,1,2,2,1,4,72,1
2570,2,3,1,2,2,7,6,74,1
2571,2,2,1,2,2,8,6,67,0
2572,2,8,1,2,2,7,6,84,0
2573,2,4,1,2,2,8,6,68,1
2574,2,3,1,2,2,1,3,40,1
2575,2,3,1,2,2,1,6,53,1
2576,2,2,1,2,2,1,2,29,0
2577,1,4,4,2,2,1,4,33,1
2578,1,3,1,2,2,7,6,63,1
2579,2,96,2,2,1,1,6,62,1
2580,2,4,1,2,2,8,2,50,1
2581,2,2,1,2,2,8,6,43,1
2582,1,3,4,2,2,1,2,49,1
2583,1,2,2,2,2,9,1,83,1
2584,1,3,1,2,2,1,4,52,1
2585,2,2,1,2,2,7,2,54,1
2586,1,4,4,2,2,10,3,31,1
2587,2,4,4,2,2,1,6,29,1
2588,2,2,1,2,2,8,4,53,1
2589,1,3,1,2,2,1,2,44,1
2590,1,4,1,2,2,1,1,54,1
2591,2,7,2,2,2,9,6,66,1
2592,2,4,1,2,2,8,2,49,1
2593,2,2,1,2,2,8,6,71,1
2594,1,3,1,2,2,1,2,44,1
2595,1,4,1,2,2,1,4,37,1
2596,2,1,2,2,2,9,6,60,1
2597,1,2,1,2,2,1,2,67,1
2598,1,7,4,2,2,1,2,31,1
2599,1,4,4,1,2,1,2,34,1
2600,2,3,4,2,2,1,2,33,1
2601,2,3,1,2,2,1,6,37,1
2602,2,4,4,2,2,1,6,26,0
2603,2,7,1,2,2,8,2,39,1
2604,1,3,1,2,2,1,2,37,1
2605,1,2,2,2,2,9,1,68,1
2606,1,3,1,1,2,9,6,51,0
2607,1,4,1,2,1,1,6,55,1
2608,2,2,3,2,2,7,6,41,1
2609,2,4,1,2,2,5,4,48,1
2610,2,4,1,2,2,5,3,26,0
2611,2,2,1,2,2,1,6,60,1
2612,1,96,1,2,2,1,6,56,1
2613,1,3,4,2,2,1,6,35,1
2614,2,4,1,2,2,1,6,47,1
2615,1,2,1,2,2,1,4,49,1
2616,1,2,1,2,2,1,2,53,1
2617,2,2,1,2,2,1,6,59,1
2618,1,4,1,2,2,1,2,45,1
2619,2,96,1,2,2,1,6,78,1
2620,1,3,4,2,2,1,1,31,1
2621,2,4,2,2,2,1,2,41,1
2622,2,7,4,2,2,1,3,31,1
2623,1,4,3,2,2,1,1,64,1
2624,2,3,3,2,2,1,2,51,1
2625,2,3,4,2,2,8,2,62,1
2626,1,4,4,2,2,9,2,40,1
2627,1,3,3,2,2,1,4,28,0
2628,1,2,2,2,2,1,2,70,1
2629,1,2,1,2,2,1,2,55,1
2630,1,4,4,2,2,1,1,35,1
2631,2,4,4,2,2,1,2,31,1
2632,2,3,4,2,2,1,1,39,1
2633,2,96,1,2,2,8,6,61,1
2634,1,4,1,2,2,1,6,70,0
2635,1,4,4,2,2,6,3,36,1
2636,2,4,1,2,2,8,6,31,1
2637,1,4,4,2,2,1,6,27,0
2638,1,2,4,2,2,1,2,29,1
2639,2,3,1,2,2,1,6,35,1
2640,1,4,1,2,1,8,3,45,1
2641,2,7,1,2,2,8,6,40,1
2642,2,1,1,2,2,8,6,68,1
2643,1,2,1,2,2,7,6,76,1
2644,2,3,1,2,2,8,6,68,1
2645,2,3,1,2,2,1,6,56,1
2646,1,4,4,2,2,5,1,25,0
2647,1,4,1,2,2,1,6,30,1
2648,2,4,1,2,2,8,4,36,1
2649,1,1,1,2,2,1,2,54,1
2650,1,4,1,1,1,1,2,42,1
2651,1,4,1,2,2,1,2,48,1
2652,2,2,1,2,2,1,6,67,1
2653,2,3,1,2,2,1,2,26,0
2654,2,2,3,2,2,10,6,39,1
2655,2,7,1,2,2,1,1,29,1
2656,2,4,1,2,2,8,2,46,1
2657,2,96,2,2,2,7,4,89,0
2658,1,4,1,2,2,1,4,29,1
2659,1,3,1,2,2,1,2,43,1
2660,2,4,1,2,2,8,2,36,1
2661,1,2,1,2,2,7,4,57,1
2662,1,2,2,2,2,1,6,56,1
2663,2,2,3,2,2,1,6,63,1
2664,1,3,1,2,2,1,1,49,1
2665,2,3,1,2,2,1,1,45,1
2666,2,4,1,2,2,1,4,33,1
2667,1,4,1,1,2,1,2,67,1
2668,2,96,4,2,2,8,2,66,1
2669,2,1,1,2,2,1,2,49,1
2670,2,96,1,2,2,10,6,37,1
2671,1,2,1,2,2,1,2,61,1
2672,2,4,4,2,2,10,6,28,0
2673,1,4,4,2,2,1,2,27,0
2674,2,2,1,2,2,1,6,56,1
2675,1,2,4,2,1,9,2,38,1
2676,2,2,3,2,2,5,3,53,1
2677,2,4,1,2,2,1,4,30,1
2678,2,2,2,2,2,1,6,77,1
2679,1,4,1,2,2,1,6,48,1
2680,2,2,1,2,2,8,2,67,1
2681,2,4,4,2,2,5,2,30,1
2682,1,8,1,2,2,1,2,55,1
2683,2,4,1,2,2,8,6,62,1
2684,2,2,3,2,2,8,2,70,0
2685,1,3,1,2,2,5,6,41,1
2686,2,3,2,2,2,7,6,93,0
2687,1,4,3,2,2,1,2,61,1
2688,1,3,4,2,2,5,6,58,1
2689,2,4,3,2,2,8,6,46,1
2690,1,4,1,1,2,1,4,36,1
2691,1,2,1,2,2,9,2,59,1
2692,1,8,1,2,2,1,2,55,1
2693,1,4,1,2,2,1,6,40,1
2694,1,2,1,2,2,1,6,42,1
2695,1,2,1,2,2,5,2,63,1
2696,1,2,1,2,2,5,6,38,1
2697,2,4,1,2,2,8,2,40,1
2698,2,2,1,2,2,8,6,44,0
2699,2,4,3,2,2,5,2,32,1
2700,1,4,1,2,2,1,2,41,1
2701,2,3,4,2,2,5,6,26,1
2702,1,2,3,2,2,7,4,67,1
2703,2,4,1,2,2,1,6,34,1
2704,1,4,1,2,2,5,2,60,1
2705,2,2,1,2,2,1,6,47,1
2706,1,3,1,2,2,1,6,31,1
2707,1,3,4,2,2,1,6,26,0
2708,2,3,2,2,2,5,6,39,1
2709,1,3,4,2,2,1,6,50,1
2710,2,4,4,2,2,1,6,32,1
2711,2,4,4,2,2,5,6,35,1
2712,2,4,4,2,2,1,2,28,0
2713,1,3,1,2,2,1,2,37,0
2714,1,7,4,2,2,1,6,27,1
2715,2,4,3,2,2,5,2,40,1
2716,2,3,1,2,2,5,2,35,0
2717,1,2,1,2,2,1,6,52,0
2718,1,4,3,2,2,1,6,60,1
2719,2,3,1,2,2,1,2,34,1
2720,1,3,4,2,2,1,2,31,0
2721,1,3,1,2,2,1,2,31,1
2722,2,2,1,2,2,8,4,60,0
2723,1,3,1,2,2,9,6,69,1
2724,1,4,1,2,2,1,6,37,1
2725,2,8,1,2,2,1,4,49,1
2726,2,4,4,2,2,1,1,25,0
2727,1,4,1,2,2,10,2,42,1
2728,2,4,1,2,2,1,6,32,1
2729,1,3,1,2,2,1,2,56,1
2730,2,4,4,2,2,1,2,54,1
2731,1,3,1,1,2,1,2,61,1
2732,2,4,1,2,2,8,6,36,1
2733,1,8,1,1,2,1,2,56,1
2734,2,2,1,2,2,8,1,41,1
2735,2,4,4,2,2,1,6,28,1
2736,2,96,1,2,2,1,4,75,1
2737,1,4,1,1,2,1,2,41,1
2738,1,3,1,2,2,5,2,26,0
2739,2,3,3,2,2,7,6,71,1
2740,1,3,1,2,2,1,2,34,1
2741,1,2,4,1,2,1,6,43,1
2742,1,2,2,2,2,1,6,72,1
2743,2,3,4,2,2,1,1,61,1
2744,2,4,3,2,2,1,4,48,1
2745,2,2,4,2,2,1,6,52,1
2746,2,96,1,2,2,8,2,49,1
2747,1,2,4,2,2,1,1,46,1
2748,1,96,1,1,2,1,4,57,1
2749,1,4,1,2,2,1,1,39,1
2750,2,4,1,2,2,1,6,36,1
2751,1,2,1,2,2,10,2,47,1
2752,2,2,4,2,2,1,4,61,1
2753,2,3,1,2,2,1,4,52,1
2754,1,4,4,1,2,1,2,28,1
2755,1,4,4,2,2,1,2,49,1
2756,2,3,4,2,2,10,4,26,0
2757,1,7,1,1,1,1,6,52,1
2758,1,7,1,2,2,1,1,64,1
2759,2,3,4,2,2,6,1,24,0
2760,1,3,1,2,2,1,4,38,1
2761,1,3,1,2,2,1,6,41,1
2762,2,7,1,2,2,1,6,39,1
2763,2,3,4,2,2,5,1,29,1
2764,1,4,1,2,2,1,6,46,1
2765,2,3,4,2,2,1,2,41,1
2766,2,2,3,2,2,8,1,61,1
2767,2,4,1,2,2,5,2,29,1
2768,1,3,4,2,2,1,1,27,0
2769,1,3,4,2,2,1,3,41,1
2770,2,96,1,2,2,8,4,77,0
2771,1,8,4,2,2,1,2,53,1
2772,2,2,1,2,2,8,1,53,1
2773,2,1,4,2,2,9,6,56,1
2774,2,2,1,2,2,1,4,38,1
2775,2,1,2,2,2,7,4,71,1
2776,2,2,1,2,2,1,2,31,1
2777,1,4,4,2,2,1,3,55,1
2778,1,4,1,2,2,1,6,59,1
2779,2,4,1,2,2,1,4,44,1
2780,1,3,4,2,2,6,3,23,0
2781,1,7,1,2,2,7,4,84,1
2782,1,3,1,2,2,7,3,73,1
2783,2,4,1,2,2,8,4,59,1
2784,2,4,1,2,2,1,6,30,1
2785,2,4,4,2,2,1,1,55,1
2786,1,4,1,1,2,1,4,39,1
2787,1,2,3,2,2,5,6,59,1
2788,1,2,4,2,2,1,3,29,1
2789,2,7,4,2,2,1,4,33,1
2790,1,4,1,2,2,1,2,65,1
2791,2,4,4,2,2,1,6,25,0
2792,1,3,4,2,2,1,4,25,0
2793,2,4,1,2,2,1,6,65,1
2794,2,7,3,2,2,1,4,42,1
2795,1,2,3,2,2,7,4,66,1
2796,1,3,1,2,2,1,4,66,1
2797,1,2,4,2,2,9,2,41,0
2798,2,4,4,2,2,7,4,67,1
2799,2,7,1,2,2,7,6,72,1
2800,1,4,4,2,2,10,3,36,1
2801,2,4,1,2,2,1,4,39,1
2802,2,4,1,2,2,1,6,43,1
2803,2,4,1,2,2,1,6,53,1
2804,1,2,1,2,2,1,4,38,1
2805,1,2,1,2,2,1,6,56,1
2806,1,3,1,2,2,1,6,54,1
2807,1,4,4,2,2,1,6,35,1
2808,2,3,1,2,2,1,6,49,1
2809,2,4,1,2,2,1,6,33,1
2810,2,2,1,2,2,8,6,61,1
2811,2,2,1,2,2,1,6,52,1
2812,1,2,1,2,2,1,4,58,1
2813,1,1,1,2,2,1,4,67,1
2814,1,4,1,2,2,1,4,60,1
2815,1,2,1,2,2,1,6,67,1
2816,2,3,1,2,2,8,6,42,1
2817,2,2,1,2,2,1,4,44,1
2818,2,4,4,2,2,7,4,67,1
2819,2,7,2,2,2,7,2,73,1
2820,2,3,4,2,2,1,6,42,1
2821,1,4,4,2,2,6,2,31,1
2822,1,4,4,2,2,1,2,31,1
2823,1,4,1,2,2,5,6,50,1
2824,2,3,1,2,2,1,6,38,1
2825,2,4,1,2,2,1,6,40,1
2826,2,4,1,2,2,1,6,42,1
2827,2,2,4,2,2,1,4,44,0
2828,1,2,4,2,2,1,1,33,1
2829,1,8,4,2,2,1,1,39,1
2830,1,2,4,2,2,1,1,30,1
2831,1,96,4,2,2,7,4,70,1
2832,1,1,1,2,2,1,1,59,1
2833,1,2,4,2,2,1,2,28,0
2834,2,2,1,2,2,1,6,32,1
2835,2,1,2,2,2,1,2,75,1
2836,2,2,1,2,2,1,4,25,0
2837,2,3,4,2,2,6,1,27,1
2838,1,1,2,2,2,7,1,81,1
2839,2,3,1,2,2,5,1,58,1
2840,1,3,1,2,2,1,6,49,1
2841,2,2,2,2,2,8,6,66,1
2842,1,2,1,2,2,1,6,59,1
2843,1,4,1,2,2,1,6,50,1
2844,2,96,1,2,2,1,4,64,1
2845,1,4,4,1,2,1,2,31,1
2846,1,3,1,2,2,1,6,30,1
2847,2,2,1,2,2,8,4,57,0
2848,1,2,3,2,2,1,2,61,1
2849,2,3,1,2,2,1,4,56,1
2850,1,2,1,2,2,1,3,60,1
2851,2,3,4,2,2,1,3,51,1
2852,2,2,1,2,2,1,2,57,1
2853,1,7,1,2,2,1,2,49,1
2854,1,2,4,2,2,1,4,55,1
2855,2,4,3,2,2,1,2,44,1
2856,2,2,3,2,2,1,6,61,1
2857,2,4,1,2,2,1,6,42,1
2858,1,4,1,2,2,1,1,62,1
2859,2,2,1,2,2,1,4,61,1
2860,1,2,4,2,2,1,3,59,1
2861,2,2,2,2,2,7,6,76,1
2862,1,2,1,2,2,1,2,62,1
2863,1,4,1,2,2,7,6,67,1
2864,2,2,1,2,2,10,6,51,1
2865,2,3,2,2,2,7,3,81,1
2866,2,4,1,1,2,1,4,39,1
2867,2,4,1,2,2,8,6,39,1
2868,1,2,1,2,2,9,4,54,1
2869,1,4,1,2,2,5,4,42,1
2870,2,2,3,2,2,5,4,55,1
2871,1,4,1,1,2,9,4,62,1
2872,1,4,3,2,2,1,1,50,1
2873,1,3,4,2,2,5,6,25,0
2874,2,4,1,2,2,1,6,34,1
2875,1,3,4,2,2,1,6,36,0
2876,2,4,1,2,2,5,4,39,1
2877,2,2,1,2,2,8,6,54,1
2878,2,4,1,2,2,10,6,44,1
2879,1,4,1,2,2,5,6,57,1
2880,2,4,1,2,2,8,6,35,1
2881,2,8,1,2,2,8,3,45,1
2882,2,3,2,2,2,1,1,45,1
2883,1,4,1,2,2,1,6,53,1
2884,2,1,3,2,2,1,6,62,1
2885,1,1,1,2,2,7,4,91,1
2886,2,4,1,2,2,8,6,63,1
2887,2,1,1,2,2,9,4,79,1
2888,2,4,1,2,2,1,2,59,1
2889,1,3,1,2,2,1,2,57,1
2890,1,4,1,2,2,1,1,65,0
2891,1,3,1,2,2,1,6,49,1
2892,1,4,1,2,2,1,2,34,1
2893,2,4,1,2,2,1,3,37,1
2894,2,4,1,2,2,1,1,32,1
2895,2,4,1,2,2,1,6,39,1
2896,1,4,4,2,2,1,1,29,0
2897,1,4,1,2,2,7,1,67,1
2898,1,2,1,2,2,9,2,77,1
2899,1,2,1,2,2,1,1,48,1
2900,2,1,1,2,2,7,6,71,1
2901,2,4,1,2,2,8,6,38,0
2902,2,4,1,2,2,1,6,35,1
2903,2,4,2,2,2,7,6,66,1
2904,2,4,1,2,2,8,2,37,1
2905,1,4,1,2,2,1,4,52,1
2906,1,1,1,2,2,1,4,61,1
2907,2,7,4,1,2,1,6,65,1
2908,2,7,1,2,2,1,3,38,1
2909,1,4,4,2,2,1,6,31,0
2910,1,1,1,2,2,7,6,79,1
2911,1,7,1,1,2,1,6,44,1
2912,2,4,1,2,2,1,6,62,1
2913,1,4,4,2,2,6,2,32,1
2914,1,2,1,2,2,1,4,71,1
2915,1,7,1,2,2,1,6,45,1
2916,2,4,1,2,2,8,4,41,1
2917,2,7,4,2,2,1,6,61,1
2918,2,2,1,2,2,8,4,52,1
2919,2,2,1,2,2,1,3,45,1
2920,2,4,1,2,2,8,6,34,1
2921,1,1,1,2,2,1,6,41,1
2922,2,4,1,2,2,1,1,43,1
2923,2,1,1,2,2,8,6,71,1
2924,1,4,3,2,2,1,1,58,1
2925,2,4,4,1,2,1,6,29,1
2926,1,7,4,1,1,1,2,28,0
2927,2,8,1,1,1,1,2,39,1
2928,1,4,1,1,1,1,6,51,1
2929,1,4,4,2,2,1,1,27,0
2930,2,4,1,2,2,1,6,57,1
2931,1,4,1,2,2,7,6,79,1
2932,1,7,4,2,2,1,4,29,1
2933,2,4,1,2,2,8,6,65,1
2934,1,3,1,2,2,1,4,62,1
2935,1,3,4,2,2,1,1,40,1
2936,1,2,1,2,2,5,6,57,1
2937,1,7,4,2,2,1,2,31,1
2938,1,2,1,2,2,1,6,74,1
2939,2,1,2,2,2,8,2,73,1
2940,2,4,1,2,2,1,6,32,1
2941,2,4,1,2,2,1,4,53,1
2942,2,7,1,2,2,8,6,50,1
2943,2,7,1,2,2,8,6,39,1
2944,1,4,4,2,2,6,6,38,1
2945,1,4,1,1,1,1,4,52,1
2946,1,2,1,1,2,1,2,54,1
2947,2,4,4,2,2,6,6,37,1
2948,2,1,1,2,2,8,2,61,1
2949,1,4,4,2,2,1,6,26,0
2950,1,4,4,2,2,1,2,31,0
2951,2,3,1,2,2,8,6,55,1
2952,2,4,2,2,2,1,6,77,1
2953,2,2,2,2,2,1,6,60,1
2954,1,4,1,2,2,1,2,34,1
2955,1,7,1,2,2,1,2,39,0
2956,2,2,1,2,2,8,6,73,0
2957,1,96,1,2,2,7,4,67,1
2958,2,7,1,2,2,1,2,41,1
2959,1,3,1,2,2,1,2,61,1
2960,1,2,1,2,2,1,2,76,1
2961,2,3,1,2,2,5,2,31,1
2962,2,2,1,2,2,1,1,56,1
2963,2,4,1,1,1,1,1,40,1
2964,1,4,1,2,2,1,1,45,0
2965,1,3,3,2,2,7,1,62,1
2966,1,1,3,1,2,1,1,67,1
2967,1,3,4,2,2,1,6,50,1
2968,2,2,2,2,2,1,6,80,1
2969,1,2,4,2,2,7,2,63,0
2970,2,4,1,2,2,8,1,26,0
2971,2,3,1,2,2,8,4,59,0
2972,1,7,1,2,2,1,2,45,1
2973,1,4,4,2,2,1,3,47,1
2974,2,7,1,1,2,1,2,49,0
2975,2,4,1,2,2,8,4,43,0
2976,2,3,4,2,2,1,2,42,1
2977,2,4,1,2,2,1,6,35,1
2978,2,3,1,2,2,8,4,75,1
2979,2,4,4,2,2,8,6,54,1
2980,1,3,4,2,2,5,6,29,1
2981,1,3,1,2,2,1,2,53,0
2982,2,4,4,2,2,8,6,29,1
2983,1,2,1,2,2,7,6,78,0
2984,1,2,1,2,2,1,6,45,1
2985,2,4,1,2,2,7,4,69,1
2986,2,2,1,2,2,8,6,39,1
2987,1,2,1,2,2,9,6,59,1
2988,1,4,1,1,2,1,1,30,1
2989,1,3,1,2,2,1,4,33,1
2990,1,4,4,2,2,1,4,27,0
2991,2,3,1,2,2,1,2,44,0
2992,1,4,1,2,2,1,3,41,1
2993,1,1,2,2,2,7,1,71,1
2994,2,4,1,2,2,1,3,51,1
2995,2,4,2,2,2,9,6,76,1
2996,1,3,1,2,2,1,4,36,1
2997,1,3,1,2,2,1,4,61,0
2998,1,4,1,2,2,1,3,46,1
2999,1,4,1,2,2,1,2,61,0
3000,2,3,1,2,2,1,4,44,1
3001,2,3,2,2,2,1,3,73,1
